Seed,Model,RE,RMSE,MAE
1,exp-2_det_s-1,0.0265210608424337,0.04727017077275978,0.04097553277394309
1,exp-2_gru_s-1,0.014040561622464899,0.038304943776472485,0.029791963009629777
1,exp-2_lstm_s-1,0.32605304212168484,0.10911442994050949,0.08977333236682046
2,exp-2_det_s-2,0.0015600624024961,0.03650513308712872,0.030558148969255898
2,exp-2_gru_s-2,0.0078003120124804995,0.11920074001565982,0.11321417852341022
2,exp-2_lstm_s-2,0.23712948517940718,0.09185453551372655,0.07702637450102946
3,exp-2_det_s-3,0.0046801872074883,0.02944779429694661,0.02371641649905479
3,exp-2_gru_s-3,0.0015600624024961,0.02764610065537942,0.021792936596335268
3,exp-2_lstm_s-3,0.5101404056162246,0.10799200263712436,0.08516406285625566
4,exp-2_det_s-4,0.014040561622464899,0.01899445404311322,0.01520401282518711
4,exp-2_gru_s-4,0.0015600624024961,0.0516721463399616,0.04415415235512635
4,exp-2_lstm_s-4,0.1606864274570983,0.0965712599732235,0.08991729794171628
5,exp-2_det_s-5,0.0202808112324493,0.04350458357356857,0.037111606233915684
5,exp-2_gru_s-5,0.0093603744149766,0.05370207395561854,0.047732461757482164
5,exp-2_lstm_s-5,0.49765990639625585,0.1281350421943573,0.1094462413151315
